T(K) nu
298.0 0.31608537617903487
298.75757575757575 0.3167217803708991
299.5151515151515 0.31735787126803733
300.27272727272725 0.3179936488704496
301.030303030303 0.31862911317813597
301.7878787878788 0.3192642641910964
302.54545454545456 0.31989910190933085
303.3030303030303 0.3205336263328393
304.06060606060606 0.32116783746162186
304.8181818181818 0.32180173529567846
305.57575757575756 0.32243531983500906
306.3333333333333 0.3230685910796138
307.09090909090907 0.32370154902949255
307.8484848484849 0.3243341936846454
308.6060606060606 0.3249665250450722
309.3636363636364 0.325598543110773
310.1212121212121 0.326230247881748
310.8787878787879 0.326861639357997
311.6363636363636 0.32749271753952003
312.3939393939394 0.32812348242631706
313.1515151515151 0.3287539340183882
313.90909090909093 0.3293840723157334
314.6666666666667 0.3300138973183527
315.42424242424244 0.33064340902624595
316.1818181818182 0.3312726074394132
316.93939393939394 0.3319014925578546
317.6969696969697 0.33253006438157007
318.45454545454544 0.3331583229105596
319.2121212121212 0.3337862681448231
319.969696969697 0.33441390008436067
320.72727272727275 0.3350412187291723
321.4848484848485 0.335668224079258
322.24242424242425 0.3362949161346177
323.0 0.33692129489525147
323.75757575757575 0.33754736036115934
324.5151515151515 0.33817311253234117
325.27272727272725 0.33879855140879706
326.030303030303 0.33942367699052706
326.7878787878788 0.3400484892775311
327.54545454545456 0.3406729882698092
328.3030303030303 0.34129717396736126
329.06060606060606 0.34192104637018744
329.8181818181818 0.3425446054782877
330.57575757575756 0.34316785129166194
331.3333333333333 0.34379078381031025
332.0909090909091 0.3444134030342326
332.8484848484849 0.34503570896342906
333.6060606060606 0.34565770159789955
334.3636363636364 0.34627938093764404
335.1212121212121 0.3469007469826626
335.8787878787879 0.34752179973295516
336.6363636363636 0.34814253918852184
337.3939393939394 0.3487629653493626
338.1515151515151 0.3493830782154773
338.9090909090909 0.3500028777868662
339.6666666666667 0.3506223640635291
340.42424242424244 0.3512415370454659
341.1818181818182 0.3518603967326769
341.93939393939394 0.3524789431251619
342.6969696969697 0.35309717622292097
343.45454545454544 0.3537150960259541
344.2121212121212 0.3543327025342612
344.969696969697 0.3549499957478425
345.72727272727275 0.3555669756666977
346.4848484848485 0.356183642290827
347.24242424242425 0.3567999956202304
348.0 0.35741603565490776
348.75757575757575 0.3580317623948592
349.5151515151515 0.3586471758400847
350.27272727272725 0.35926227599058425
351.030303030303 0.35987706284635784
351.7878787878788 0.36049153640740556
352.54545454545456 0.3611056966737272
353.3030303030303 0.361719543645323
354.06060606060606 0.3623330773221928
354.8181818181818 0.3629462977043366
355.57575757575756 0.3635592047917545
356.3333333333333 0.3641717985844464
357.0909090909091 0.36478407908241245
357.8484848484849 0.36539604628565253
358.6060606060606 0.3660077001941666
359.3636363636364 0.36661904080795477
360.1212121212121 0.3672300681270169
360.8787878787879 0.3678407821513532
361.6363636363636 0.36845118288096346
362.3939393939394 0.3690612703158478
363.1515151515151 0.3696710444560062
363.9090909090909 0.3702805053014386
364.6666666666667 0.37088965285214515
365.42424242424244 0.37149848710812566
366.1818181818182 0.37210700806938024
366.93939393939394 0.37271521573590893
367.6969696969697 0.3733231101077116
368.45454545454544 0.3739306911847883
369.21212121212125 0.3745379589671391
369.969696969697 0.375144913454764
370.72727272727275 0.37575155464766286
371.4848484848485 0.3763578825458358
372.24242424242425 0.3769638971492827
373.0 0.37756959845800375
