T(K),kth
298.0,87.12795838108505
299.83838383838383,87.00845999645964
301.67676767676767,86.88896161183422
303.5151515151515,86.7694632272088
305.35353535353534,86.64996484258339
307.19191919191917,86.53046645795797
309.030303030303,86.41096807333255
310.8686868686869,86.29146968870714
312.7070707070707,86.17197130408172
314.54545454545456,86.0524729194563
316.3838383838384,85.9329745348309
318.22222222222223,85.81347615020549
320.06060606060606,85.69397776558007
321.8989898989899,85.57447938095466
323.73737373737373,85.45498099632924
325.57575757575756,85.33548261170382
327.4141414141414,85.21598422707841
329.25252525252523,85.096485842453
331.0909090909091,84.97698745782758
332.92929292929296,84.85748907320217
334.7676767676768,84.73799068857676
336.6060606060606,84.61849230395134
338.44444444444446,84.49899391932593
340.2828282828283,84.37949553470051
342.1212121212121,84.2599971500751
343.95959595959596,84.14049876544968
345.7979797979798,84.02100038082426
347.6363636363636,83.90150199619885
349.47474747474746,83.78200361157343
351.3131313131313,83.66250522694801
353.1515151515151,83.54300684232261
354.98989898989896,83.4235084576972
356.82828282828285,83.30401007307178
358.6666666666667,83.18451168844636
360.5050505050505,83.06501330382095
362.34343434343435,82.94551491919553
364.1818181818182,82.82601653457012
366.020202020202,82.7065181499447
367.85858585858585,82.5870197653193
369.6969696969697,82.46752138069388
371.5353535353535,82.34802299606847
373.37373737373736,82.22852461144305
375.21212121212125,82.10902622681763
377.0505050505051,81.98952784219222
378.8888888888889,81.8700294575668
380.72727272727275,81.75053107294138
382.5656565656566,81.63103268831597
384.4040404040404,81.51153430369055
386.24242424242425,81.39203591906514
388.0808080808081,81.27253753443972
389.9191919191919,81.1530391498143
391.75757575757575,81.0335407651889
393.5959595959596,80.91404238056349
395.4343434343434,80.79454399593807
397.27272727272725,80.67504561131265
399.1111111111111,80.55554722668724
400.9494949494949,80.43604884206182
402.7878787878788,80.3165504574364
404.62626262626264,80.19705207281099
406.4646464646465,80.07755368818557
408.3030303030303,79.95805530356017
410.14141414141415,79.83855691893476
411.979797979798,79.71905853430934
413.8181818181818,79.59956014968392
415.65656565656565,79.48006176505851
417.4949494949495,79.36056338043309
419.33333333333337,79.24106499580768
421.1717171717172,79.12156661118226
423.01010101010104,79.00206822655684
424.8484848484849,78.88256984193143
426.6868686868687,78.76307145730601
428.52525252525254,78.6435730726806
430.3636363636364,78.52407468805518
432.2020202020202,78.40457630342978
434.04040404040404,78.28507791880436
435.8787878787879,78.16557953417895
437.7171717171717,78.04608114955353
439.55555555555554,77.92658276492811
441.3939393939394,77.8070843803027
443.2323232323232,77.6875859956773
445.07070707070704,77.56808761105188
446.9090909090909,77.44858922642646
448.7474747474747,77.32909084180105
450.5858585858586,77.20959245717563
452.42424242424244,77.09009407255022
454.26262626262627,76.9705956879248
456.1010101010101,76.85109730329938
457.93939393939394,76.73159891867397
459.77777777777777,76.61210053404855
461.61616161616166,76.49260214942313
463.4545454545455,76.37310376479772
465.29292929292933,76.2536053801723
467.13131313131316,76.13410699554689
468.969696969697,76.01460861092147
470.80808080808083,75.89511022629605
472.64646464646466,75.77561184167065
474.4848484848485,75.65611345704524
476.32323232323233,75.53661507241982
478.16161616161617,75.4171166877944
480.0,75.29761830316899
